brave-bin,
zen-browser-bin, 
apple-fonts,
auto-cpufreq,
grimblast-git,
colloid-gtk-theme-git,
krokiet,duplikaty
flatseal,permissions
flatpost,software hub
quickemu,quick qemu
ttf-ms-fonts,fonts required by wine
simple-mtpfs, enables the mounting of cell phones.
gtk-engine-murrine,sth sth gtk engine
